Timestamp,Open,High,Low,Close,Volume,OI
1674035291,81.8225,81.8225,81.8225,81.8225,17,3172329,
1674035295,81.83,81.83,81.8275,81.8275,2533,3172329,
1674035296,81.8275,81.8275,81.8275,81.8275,5,3172329,
1674035297,81.8275,81.8275,81.8275,81.8275,569,3172329,
1674035299,81.8275,81.83,81.8275,81.83,439,3172329,
1674035300,81.8325,81.8325,81.8325,81.8325,45,3172329,
1674035302,81.83,81.83,81.83,81.83,124,3172329,
1674035304,81.8275,81.8275,81.8275,81.8275,2,3172329,
1674035305,81.83,81.83,81.83,81.83,50,3172329,
1674035307,81.83,81.83,81.83,81.83,10,3172329,
1674035313,81.8275,81.8275,81.8275,81.8275,10,3172329,
1674035315,81.83,81.83,81.83,81.83,5,3172329,
1674035321,81.8275,81.8275,81.8275,81.8275,100,3172329,
1674035323,81.83,81.83,81.83,81.83,52,3172329,
1674035325,81.825,81.825,81.825,81.825,1,3172329,
1674035327,81.8275,81.8275,81.8275,81.8275,21,3172329,
1674035328,81.8275,81.8275,81.8275,81.8275,5,3172329,
1674035331,81.8275,81.8275,81.8275,81.8275,23,3172329,
1674035334,81.83,81.83,81.83,81.83,118,3172329,
1674035335,81.83,81.83,81.83,81.83,68,3172329,
1674035337,81.83,81.83,81.83,81.83,100,3172329,
1674035338,81.825,81.825,81.825,81.825,704,3172329,
1674035339,81.8225,81.8225,81.8225,81.8225,1220,3172329,
1674035343,81.8225,81.825,81.8225,81.825,681,3172329,
1674035344,81.825,81.825,81.82,81.82,17,3172329,
1674035345,81.8225,81.8225,81.8225,81.8225,36,3172329,
1674035348,81.8225,81.8225,81.8225,81.8225,1,3172329,
1674035349,81.8225,81.8225,81.82,81.82,301,3172329,
1674035350,81.82,81.82,81.82,81.82,0,3172329,
1674035353,81.8225,81.8225,81.8225,81.8225,17,3172329,
1674035357,81.8225,81.8225,81.8225,81.8225,782,3172329,
1674035358,81.8225,81.8225,81.8225,81.8225,3,3172329,
1674035364,81.8225,81.8225,81.8225,81.8225,221,3172329,
1674035365,81.82,81.82,81.82,81.82,13,3172329,
1674035372,81.82,81.8225,81.82,81.8225,228,3172329,
1674035373,81.825,81.825,81.825,81.825,1,3172329,
1674035378,81.825,81.825,81.825,81.825,9,3172329,
1674035386,81.825,81.825,81.825,81.825,6,3172329,
1674035389,81.8225,81.8225,81.8225,81.8225,1000,3172329,
1674035391,81.82,81.82,81.82,81.82,1,3172329,
1674035392,81.82,81.82,81.82,81.82,19,3172329,
1674035397,81.82,81.8225,81.82,81.8225,10,3172329,
1674035398,81.8225,81.8225,81.8225,81.8225,0,3172329,
1674035400,81.8225,81.8225,81.8225,81.8225,12,3172329,
1674035402,81.8225,81.8225,81.8225,81.8225,13,3172329,
1674035403,81.8225,81.8225,81.8225,81.8225,0,3172329,
1674035404,81.825,81.825,81.825,81.825,18,3172329,
1674035407,81.825,81.825,81.825,81.825,1029,3172329,
1674035408,81.8275,81.8275,81.8275,81.8275,200,3172329,
1674035418,81.825,81.825,81.825,81.825,5,3173308,
1674035419,81.8275,81.8275,81.8275,81.8275,20,3173308,
1674035421,81.8275,81.8275,81.8275,81.8275,10,3173308,
1674035426,81.825,81.825,81.825,81.825,6,3173308,
1674035427,81.825,81.825,81.825,81.825,5,3173308,
1674035430,81.825,81.825,81.825,81.825,201,3173308,
1674035433,81.8275,81.8275,81.8275,81.8275,1,3173308,
1674035435,81.8275,81.8275,81.8275,81.8275,2,3173308,
1674035442,81.825,81.8275,81.825,81.8275,4,3173308,
1674035443,81.8275,81.8275,81.8275,81.8275,14,3173308,
1674035445,81.825,81.825,81.825,81.825,105,3173308,
1674035451,81.825,81.825,81.825,81.825,1,3173308,
1674035453,81.825,81.825,81.825,81.825,1,3173308,
1674035454,81.8275,81.8275,81.8275,81.8275,1,3173308,
1674035456,81.825,81.825,81.825,81.825,2,3173308,
1674035458,81.825,81.825,81.825,81.825,1,3173308,
1674035459,81.825,81.825,81.825,81.825,70,3173308,
1674035461,81.825,81.825,81.825,81.825,65,3173308,
1674035463,81.8225,81.8225,81.8225,81.8225,1,3173308,
1674035466,81.8225,81.8225,81.8225,81.8225,19,3173308,
1674035467,81.825,81.825,81.825,81.825,15,3173308,
1674035468,81.825,81.825,81.825,81.825,26,3173308,
